image_id,final_text,ground_truth,gt_matched,gt_total,ingredient_recall
IMG_0028.png,Sugar Wheatflour (contains Cluten) Sunflower Oil Invert Sugar Syrup Palm Oil Blackcurrant; Cherry) Salt Concentrated Fruit Juice (Redcurrant; Gelling Agent: Pectins (from Fruit) Sunflower Lecithin: Acidity Regulator: Citric Acid Dried Whole Milk Emulsifier,Wheatflour (contains Gluten) | Invert Sugar Syrup | Palm Oil | Sugar | Sunflower Oil | Redcurrant | Blackcurrant | Cherry | Salt | Pectins (from Fruit) | Citric Acid | Dried Whole Milk | Sunflower Lecithin,12,13,0.9230769230769231
IMG_0041.png,Oat Flakes (77%) Sugar Barley Flakes (contain Cluten) (8%) Flavouring,Oat Flakes | Sugar | Barley Flakes (contains Gluten) | Flavouring,3,4,0.75
IMG_0044.png,Gluten Free Oat Flakes (47%) Sugar Flame Raisins (9%) Rapeseed Oil Roasted Hazelnuts (3%) Maize Dextrin Puffed Brown Rice (3%) Chopped Pecan Sunflower Seeds Pumpkin Seeds Chopped and Sliced Almonds (1.5%) Black Treacle Chicory Pistachio Nuts (1%).,Guten Free Oat Flakes | Sugar | Flame Raisins | Rapeseed Oil | Roasted Hazelnuts | Maize Dextrin | Puffed Brown Rice | Chopped Pecan Nuts | Sunflower Seeds | Pumpkin Seeds | Chopped and Sliced Almonds | Black Treacle | Chicory Fibre | Pistachio Nuts,11,14,0.7857142857142857
IMG_0068.png,Fat Free Creek Style Yogurt (Milk) Sugar Strawberry Puree (4%) Strawberries Natural Flavourings Cornflour Lactobacillus acidophilus; Lactobacillus bulgaricus Cultures: Bifidobacterium; Streptococcus thermophilus Natural Colour; Anthocyanins (from Black Carrots),Fat Free Greek Style Yogurt (Milk) | Strawberries | Sugar | Strawberry Puree | Cornflour | Natural Flavourings | Bifidobacterium | Lactobacillus acidophilus | Lactobacillus bulgaricus | Streptococcus thermophilus | Natural Colour: Anthocyanins (from Black Carrots),9,11,0.8181818181818182
IMG_9030.png,"Carbonate; Iron Niacin;Thiamin) Wheatflour contains Cluten (with Wheatflour; Calcium Milk Chocolate (29%) (Sugar Cocoa Mass Cocoa Butter Dried Whole Milk Dried Whey (Milk) Butter Oil (Milk) Butter (Milk) (1 1%) butter from the UK & Palm Oil Dried Skimmed Milk Partially Inverted_Sugar Syrup Emulsifier: Soya Lecithin) Pasteurised Egg Sugar Salt Raising Agent: Milk Chocolate contains Cocoa Solids 38% minimum Milk Solids 18% minimum: E450,Sodium Bicarbonate E503 Vanilla Flavouring Emulsifier: Soya Lecithin: M&S (Ireland) Ltd",with Wheatflour | Calcium Carbonate | Iron | Niacin | Thiamin | Sugar | Cocoa Mass | Cocoa Butter | Dried Whole Milk | Dried Whey (Milk) | Butter Oil (Milk) | Dried Skimmed Milk | Soya Lecithin | Butter (Milk) | Palm Oil | Partially Inverted Sugar Syrup | Pasteurised Egg | Salt | E450 | Sodium Bicarbonate | E503 | Vanilla Flavouring,20,22,0.9090909090909091
in102.jpg,Maida; Sugar; Eggs Ghee,Maida | Sugar | Eggs | Ghee | Veg Shortening | Honey | Raisins | Dates | Cashewnuts | Almonds | Bengal Currant | Fig | Orange Peel | Ginger Peel | Grapes | Orange | Milkmaid,4,17,0.23529411764705882
in11.jpg,"Ingredients: Greek yogurt (pasteurized double toned milk; milk solids, permitted starter cultures), processed blueberry pulp (sugar;blueberry puree;water; (INS lemon juice concentrate)",pasteurized double toned milk | milk solids | permitted starter cultures | sugar | blueberry puree | water | 440 | lemon juice concentrate,7,8,0.875
in112.jpg,"Ingredients: Maltitol (INS 965()), Cocoa Butter (33%), Cocoa Powder (18%), Almonds (10%)} Fructo-oligosaccharides; Emulsifiers (INS 322, INS 476), Flavouring (Hazelnut)",965(i) | Cocoa Butter | Cocoa Powder | Almonds | Fructo-oligosaccharides | 322 | 476 | Flavouring (Hazelnut),7,8,0.875
in121.jpg,"INGREDIENTS: SUGAR; LIQUid GLUCOSE; COCOA SOLIDS (10.8 %) EDIBLE VEGETABLE OIL (PALM OIL); MILK SOLIDS,IODISED SALT AND EMULSIFIER (LECItHiN OF SOYA ORIGIN)",Sugar | Liquid Glucose | Cocoa Solids | Edible Vegetable Oil (Palm Oil) | Milk Solids | Iodised Salt | Emulsifier (Lecithin of Soy Origin),6,7,0.8571428571428571
in134.jpg,Red Rice Flour & Salt,Red Rice Flour | Salt,2,2,1.0
in180.jpg,Ingredients: Durum Wheat Semolina,Durum Wheat Semolina,1,1,1.0
in63.jpg,"Finger Millet flour, Jaggery. Whole Wheat flour; Vegetable Oil & Salt",Finger Millet flour | Jaggery | Whole Wheat flour | Vegetable Oil | Salt,5,5,1.0
in64.jpg,"Sucralose; Hyaro-genated Vegetable oil; Baking Soda; Jeera, Salt, Baking Powder; Permitted",Isolated Soya Protein | Peanut | Skimmed Milk Powder | Isolated Wheat Protein | Almond | Coconut | whey Protein | Fructo-oligosaccharide | Sorbitol | Sucralose | Hydro-genated Vegetable oil | Baking Soda | Jeera | Salt | Baking Powder | Permitted Flavours,5,16,0.3125
in81.jpg,"Ingredients: Rolled Oats, Brown Sugar; Coconut Oil; Sunflower Seeds; Pumpkin Seeds; Wheat Flour (Atta); Flax Seeds; Coffee; Baking Powder; Baking Soda; Cinnamon; Salt",Rolled Oats | Brown Sugar | Coconut Oil | Sunflower Seeds | Pumpkin Seeds | Wheat Flour (Atta) | Flax Seeds | Coffee | Baking Powder | Baking Soda | Cinnamon | Salt,12,12,1.0
in84.jpg,"INGREDIENTS: REFINED WHEAT FLOUR (MAIDA); SUGAR, DARK CHOCOLATE CHIPS (17%) {SUGAR, COCOA SOLIDS; COCOA BUTTER, DEXTROSE, EMULSIFIER [INS 3220)] VANILLA} REFINED PALM OIL, MILK CHOCO CHIPS (8%) {SUGAR,HYDROGENATED VEGETABLE FAT, MILK SOLIDS, COCOA SOLIDS EMULSIFIER [INS NATURAL FLAVOURS FLAVOURING SUBSTANCES} INVERT SYRUP MILK SOLIDS; EDIBLE DESICCATED RAISING INS 500(i)], COCOA SOLIDS (0.4%), IODIZED SALT AND EMULSIFIER [INS 3220)j",Refined Wheat Flour (MAIDA) | Sugar | Cocoa Solids | Cocoa Butter | Dextrose | 322(i) | Vanilla | Refined Palm Oil | Hydrogenated Vegetable Fat | Milk Solids | Invert Syrup | Edible Desiccated Coconut | 503(ii) | 500(ii) | Iodized Salt,11,15,0.7333333333333333
